ID,Ilac_Adi,Etkin_Madde,Firma
14076,TRAUMSELAMİN AMİNO ASİT IV İNFÜZYON ÇÖZELTİSİ,L-İZOLÖSİN+ L-LÖSİN+ LİZİN+ L-METİYONİN+ L-FENİLALANİN+ L-TREONİN+  L-TRİPTOFAN+ L-VALİN+ L-ALANİN+ L-ARGİNİN+ L-HİSTİDİN+ L-PROLİN+ L-SERİN+ GLİSİN+ SİSTEİN,OSEL İLAÇ SAN. VE TİC. A.Ş.
14077,"TRAVATAN %0,004 STERİL GÖZ DAMLASI, ÇÖZELTİ",TRAVOPROST,NOVARTİS SAĞLIK GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.
14078,"TRAVAZOL %1+%0,1  KREM",IZOKONAZOL NITRAT;DIFLUKORTOLON,BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.
14079,"TRAVAZOL %1+%0,1  KREM (BİLİM)",IZOKONAZOL NITRAT;DIFLUKORTOLON,BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.
14080,TRAVAZOL DERI KREMI,IZOKONAZOL NITRAT VE DIFLUKORTOLON VALERAT,BILIM ILAÇ SANAYI VE TICARET A.Ş.
14081,"TRAVICA %1 + %0,1 KREM","İZOKONAZOL NİTRAT, DİFLUKORTOLON VALERAT",LABORATOIRES BAILLEUL İLAÇ SAN. ve TİC. A.Ş.
14082,TRAVOCOM % 0.004 STERİL OFTALMİK ÇÖZELTİ,TRAVOPROST,WORLD MEDİCİNE İLAÇ SAN VE TİC. A.Ş.
14083,TRAVOCORT 10 MG/G+1 MG/G KREM,İZOKONAZOL NITRAT- DIFLUKORTOLON VALERAT,ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.
14084,TRAVOGEN % 1 KREM,İZOKONAZOL NITRAT,ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.
14085,TRAZIMERA 150 MG İNFüZYONLUK ÇöZELTI HAZıRLAMADA  KULLANıLACAK KONSANTRE İçIN TOZ,TRASTUZUMAB,Pfizer PFE İlaçları A.Ş.
14086,TRE % 0.05 KREM,TRETINOIN,ASSOS İLAÇ KİMYA GIDA ÜRÜNLERİ ÜRETİM VE TİC. A.Ş.
14087,TREDISON 20 MG IM/IV ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,METILPREDNISOLON SODYUM SüKSINAT,HAVER TRAKYA İLAÇ SAN. TİC. A.Ş.
14088,TREDISON 250 MG IM/IV ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,METILPREDNISOLON SODYUM SüKSINAT,Haver Trakya İlaç San. ve Tic. A.Ş.
14089,TREDISON 40 MG IM/IV ENJEKSIYONLUK/İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ VE ÇÖZÜCÜ,METILPREDNISOLON SODYUM SÜKSİNAT,HAVER TRAKYA İLAÇ SAN. VE TİC.A.Ş.
14090,"TREGS 0,5 G IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE  çöZüCü",SEFTRIAKSON SODYUM,PHARMAVİSİON SAN. VE TİC. A.Ş.
14091,"TREGS 0,5 G IV ENJEKSIYONLUK/INFüZYONLUK çöZELTI HAZıRLAMAK  IçIN TOZ VE çöZüCü",SEFTRIAKSON SODYUM,PHARMAVİSİON SAN. VE TİC. A.Ş.
14092,TREGS 1 G IM ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN TOZ VE  çöZüCü,SEFTRIAKSON SODYUM,PHARMAVİSİON SAN. VE TİC. A.Ş.
14093,TREGS 1 G IV ENJEKSIYONLUK/INFüZYONLUK çöZELTI HAZıRLAMAK  IçIN TOZ VE çöZüCü,SEFTRIAKSON SODYUM,PHARMAVİSİON SAN. VE TİC. A.Ş.
14094,TREKSO 20MG/0.5ML I.V. İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN FLAKON,DOSETAKSEL,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14095,TREKSO 80MG/2.0ML I.V. İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN FLAKON,DOSETAKSEL,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ.
14096,TREKUR KREM,ALIMINYUM HIDROKSIKLORIT,ORVA ILAÇ SAN.VE TİC.A.Ş.
14097,TREKUR KREM,ALIMINYUM HIDROKSIKLORIT,ORVA ILAÇ SAN.VE TİC.A.Ş.
